0001,The Fellowship of the Ring,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823112-6,Unwin Books,High Fantasy,
0002,The Two Towers,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823113-4,Unwin Books,High Fantasy,
0003,The Return of the King,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823114-2,Unwin Books,High Fantasy,
0004,The Hobbit,,J.R.R Tolkien,2008,5,4,978-0-00-727061-3,HarperCollinsPublishers,High Fantasy,
0005,Tales from the Perilous Realm,,J.R.R Tolkien,2008,2,1,978-0-00-725754-6,HarperCollinsPublishers,High Fantasy,
0006,The Silmarillion,,J.R.R Tolkien,2008,4,1,978-0-00-728424-5,HarperCollinsPublishers,High Fantasy,
0007,The Children of Húrin,,J.R.R Tolkien,2008,2,6,978-0-00-725226-8,HarperCollinsPublishers,High Fantasy,
0008,The Lays of Beleriand,The History of Middle-Earth,J.R.R Tolkien,2002,2,13,0-261-10226-5,HarperCollinsPublishers,High Fantasy,
0009,The Book of Lost Tales II,The History of Middle-Earth,J.R.R Tolkien,2002,2,19,978-0-261-10214-9,HarperCollinsPublishers,High Fantasy,
0010,The Book of Lost Tales I,The History of Middle-Earth,J.R.R Tolkien,2002,2,23,0-261-10222-2,HarperCollinsPublishers,High Fantasy,
0011,Unfinished Tales,,J.R.R Tolkien,1998,2,28,978-0-261-10362-7,HarperCollinsPublishers,High Fantasy,
0012,The Legend of Sigurd & Gudrún,,J.R.R Tolkien,2010,2,1,978-0-00-731724-0,HarperCollinsPublishers,Fantasy Fiction,
0013,Beowulf,,J.R.R Tolkien,2014,1,1,978-0-00-759006-3,HarperCollinsPublishers,Epic Poetry,
0014,The Silmarillion,,J.R.R Tolkien,1977,1,2,0-04-823139,George Allen & Unwin,High Fantasy,
0015,The Fall of Arthur,,J.R.R Tolkien,2013,1,1,978-0-00-748994-7,HarperCollinsPublishers,Arthurian Legend,
0016,A Tolkien Bestiary,,David Day,,,,0-85533-414-2,Mitchell Beazley Publishers Ltd.,Reference,
0017,The Lord of the Rings Weapons and Warfare,,Chris Smith,2003,1,1,0-00-717201-X,HarperCollinsPublishers,Reference,
0018,The Lord of the Rings the Return of the King Photo Guide,,,2003,1,1,0-00-717056-4,HarperCollinsPublishers,Reference,
0019,The Complete Grinm's Fairy Tales,,Jacob Grimm/Wilhelm Grimm,2013,,6,978-1-937994-31-0,Race Point Publishing,Fairy Tales,
0020,Total War Rome Destroy Carthage,,David Gibbins,2013,1,1,978-0-230-77096-6,Macmillan,Fiction,
0021,King Arthur and the Knights of the Round Table,,Antonia Pakenham,1954,1,1,,Heirloom Library Ltd.,Arthurian Legend,
0022,Master of Middle-Earth the Achievement of J.R.R Tolkien,,Paul Kocher,1973,2,1,0-500-01095-1,Thames and Hudson Ltd.,Reference,
0023,Don't Call Me Ishmael,,Michael Gerard Bauer,2007,2,1,978-1-86291-766-8,Omnibus Books,Nonfiction,
0024,Dune,,Frank Herbert,2007,2,4,978-0-57508-1-505,Gollancz,Young Adult Fiction,
0025,The Complete Guide to Middle-Earth,,Robert Foster,1989,2,7,0-04-803001-5,Unwin Hyman Ltd.,Reference,
0026,Letters from Father Christmas,,J.R.R Tolkien,2009,,1,978-0-00-728049-0,HarperCollinsPublishers,Fantasy,
0027,Paper Towns,,John Green,2009,2,13,978-0-7322-8900-3,Angus&Robertson,Young Adult Fiction,
0028,An Abundance of Katherines,,John Green,2013,2,23,978-0-141-34609-0,Penguin Group,Young Adult Fiction,
0029,Private Peaceful,,Michael Morpurgo,2004,2,24,978-0-00-7150076,HarperCollinsPublishers,War Story,
0030,Lord of the Flies,,William Golding,1996,2,2,978-0-571-05686-6,Faber and Faber,Fiction,
0031,The Outsider,,Albert Camus,2000,3,30,978-0-141-18250-6,Penguin Group,Young Adult Fiction,
0032,Perfume,,Patrick Suskind,2003,3,60,978-0-14-012083-7,Penguin Group,Fiction,
0033,All Quiet on the Western Front,,Erich Maria Remarque,1996,3,25,978-0-09-953281-1,Vintage,War Story,
0034,A Clockwork Orange,,Anthony Burgess,2000,4,28,978-0-141-18260-5,,Science Fiction,
0035,Coraline,,Neil Gaiman,2002,1,1,0-7475-5878-7,Bloomsbury Publishing Plc.,Fantasy,
0036,The Quest of the Holy Grail,,,1969,1,1,,Penguin Group,Arthurian Legend,
0037,The Art of War,,Sun-Tzu,2005,3,2,978-0-141-04527-6,Penguin Group,Fiction,
0038,Coorinna,,Erle Wilson,1955,2,1,,Heritage of Literature,Fiction,
0039,The Dalai Lama's Book of Wisdom,,Dalai Lama XIV,2015,2,29,978-0-7225-3955-2,HarperThorsons,Religion,
0040,Runic Inscriptions in Great Britain,,Paul Johnson,2002,2,1,1-904263-40-2,Wooden Books Ltd.,Language,
0041,Beowulf,,David Wright (t),1968,9,1,,Penguin Group,Epic Poetry,
0042,On Becoming a Man,,Harold Shryock,,,,,Signs Publishing Company,Nonfiction,
0043,The Feynman Lectures on Physics vol. I,The Feynman Lectures on Physics,Richard Feynman/Robert Leighton/Matthew Sands,2010,3,1,978-0-465-02414-8,Basic Books,Physics,
0044,The Feynman Lectures on Physics vol. II,The Feynman Lectures on Physics,Richard Feynman/Robert Leighton/Matthew Sands,2010,3,1,978-0-465-02416-2,Basic Books,Physics,
0045,The Feynman Lectures on Physics vol. III,The Feynman Lectures on Physics,Richard Feynman/Robert Leighton/Matthew Sands,2010,3,1,978-0-465-02417-9,Basic Books,Physics,
0046,Physics SACE Stage 1: Book A,,Andrew Olesnicky,2003,1,1,1-876734-27-2,Greg Eather,Physics,
0047,Physics Principles with Applications,,Douglas Giancoli,2005,6,2,0-13-191183-X,Pearson Education Inc.,Physics,
0048,50 Physics Ideas You Really Need to Know,,Joanne Baker,2007,1,3,978-1-84724-007-1,Quercus,Physics,
0049,Selections from The Principals of Relativity,,Albert Einstein/Stephen Hawking,2002,1,1,0-7624-2023-5,Running Press,Physics,
0050,Feynman's Tips on Physics,,Richard Feynman/Michael Gottlieb/Ralph Leighton,2008,3,4,0-8053-9063-4,Pearson Addison Wesley,Physics,
0051,Nuclear Physics an Introduction,,W.E. Burcham,1973,2,1,0-582-44110-2,Longman Group Ltd.,Physics,
0052,The Nature of Matter,,Ginestra Amaldi,1966,2,1,,George Allen & Unwin,Physics,
0053,Methods of Logic,,Willard Van Orman Quine,1966,3,1,59-8024,Holt Rinehart and Winston Inc.,Philosophy,
0054,Particles and Accelerators,,Robert Gouiran,1967,2,1,,World University Library,Physics,
0055,Fractals: Images of Chaos,,Hans Lauwerier,1991,3,1,,Penguin Group,Mathematics,
0056,QED the Strange Theory of Light and Matter,,Richard Feynman,2006,3,4,978-0-691-12575-6,Princeton Science Library,Physics,
0057,Great Encyclopaedic Dictionary vol. I,Great Encyclopaedic Dictionary,,1965,2,1,,Oxford University Press,Reference,
0058,Great Encyclopaedic Dictionary vol. II,Great Encyclopaedic Dictionary,,1965,2,1,,Oxford University Press,Reference,
0059,Great Encyclopaedic Dictionary vol. III,Great Encyclopaedic Dictionary,,1965,2,1,,Oxford University Press,Reference,
0060,The Stone Mage and the Sea,The Change,Sean Williams,2002,2,2,0-7322-6995-4,Voyager,Fantasy,
0061,The Sky Warden and the Sun,The Change,Sean Williams,2002,1,2,0-7322-6997-0,Voyager,Fantasy,
0062,The Storm Weaver and the Sand,The Change,Sean Williams,2002,1,1,0-7322-6998-9,Voyager,Fantasy,
0063,The Space Wolf Omnibus,,William King,2007,1,2,978-1-84416-457-8,BL Publishing,Science Fiction,
0064,The Hunger Games,The Hunger Games,Suzanne Collins,2011,3,44,978-1407-13208-2,Scholastic Ltd.,Fiction,
0065,Catching Fire,The Hunger Games,Suzanne Collins,2011,3,15,978-1407-13209-9,Scholastic Ltd.,Fiction,
0066,Alice in Wonderland,The Peebles Classic Library,Lewis Carroll,,,,,Peebles Press International Inc.,Childrens,
0067,Gulliver's Travels,The Peebles Classic Library,Jonathan Swift,,,,,Peebles Press International Inc.,Fantasy,
0068,Moby Dick,The Peebles Classic Library,Herman Melville,,,,,Peebles Press International Inc.,Fiction,
0069,The Shinging Ones,The Tamuli,David Eddings,1994,2,1,0-586-213163,HarperCollinsPublishers,Fantasy,
0070,The Lost World,,Michael Crichton,1996,2,1,0-09-963781-2,Arrow Books,Science Fiction,
0071,The Pathfinder,,James Eenimore Cooper,1960,,,,Washington Square Press,Self Help,
0072,Armor,,John Steakley,1984,1,16,,DAW Books,Military,
0073,Eragon,Inheritance,Christopher Paolini,2002,2,1,0-385-60792-X,Doubleday,Young Adult Fiction,
0074,Brisinger,Inheritance,Christopher Paolini,2008,1,1,978-0-385-61385-9,Doubleday,Young Adult Fiction,
0075,Inheritance,Inheritance,Christopher Paolini,2011,1,1,978-0-385-61650-8,Doubleday,Young Adult Fiction,
0076,The Wounded Land,Second Chronicles of Thomas Covenant,Stephen Donaldson,1983,2,7,,Fontana Books,Fantasy,
0077,The One Tree,Second Chronicles of Thomas Covenant,Stephen Donaldson,1982,2,2,,Fontana Books,Fantasy,
0078,White Gold Wielder,Second Chronicles of Thomas Covenant,Stephen Donaldson,1983,3,3,,Fontana Books,Fantasy,
0079,4 Ingredients 2,,Kim McCosker/Rachael Bermingham,2008,1,1,,,Cooking,
0080,The First Chronicles of Thomas Covenant the Unbeliever,,Stephen Donaldson,1983,3,1,0-86267-024-1,Richard Drew Publishing,Fantasy,
0081,Fire Down Below,,William Golding,1989,1,1,0-571-15203-1,Faber and Faber,Fiction,
0082,A Dictionary of Chivalry,,Grant Uden,1968,1,1,582-15371-9,Longmans Young Books Ltd.,Reference,
0083,Borland C++ Programmer's Guide,,Borland,1996,,,0-672-30923-8,Borland International,Programming,
0084,Teach Yourself Java in 21 Days,,Laura Lemay/Charles L. Perkins,1996,1,96,1-57521-030-4,Sams.net,Programming,
0085,Computer Systems Design and Architecture,,Vincent P. Heuring/Harry F. Jordan,2004,2,1,0-13-048440-7,Pearson Prentice Hall,Programming,
0086,Inside TCP/IP,,Karanjut S. Siyan,1997,3,1,1-56205-714-6,New Riders Publishing,Programming,
0087,Conceptual Physics,,Paul G. Hewitt,2002,1,18,0-13-054254-7,Prentice-Hall Inc.,Physics,
0088,GCSE Modern World History,,Ben Walsh,2009,2,13,978-0-719-577130,Hodder Education,History,
0089,The Book of Total Genius,,Josephine Fulton,2003,2,1,1+7412-1302-9,Hinkler Books Pty. Ltd.,Reference,
0090,Mathematics for Year 12 Specialist Mathemaics,,Robert Haese/Sandra Haese/Michael Haese/Roger Dixon/Jon Roberts/Michael Teubner/Anthony Thompson,2010,1,4,978-1-876543-79-2,Hasese & Harris Publications,Mathematics,
0091,Married to the Sea,,,2011,1,1,978-1-56975-905-9,Ulysses Press,Reference,
0092,The Maze Runner,Maze Runner,James Dashner,2011,2,25,978-1-908435-13-2,Chicken House,Young Adult Fiction,
0093,The Scorch Trials,Maze Runner,James Dashner,2011,2,23,978-1-906427-79-5,Chicken House,Young Adult Fiction,
0094,Death Cure,Maze Runner,James Dashner,2012,2,18,978-1-908435-20-0,Chicken House,Young Adult Fiction,
0095,The Second Book of GO,,Richard Bozulich,2006,2,2,4-906574-31-9,Kiseido Publishing Company,Reference,
0096,GO: A Complete Introduction to the Game,,Cho Chikun,2004,3,1,4-906574-50-5,Kiseido Publishing Company,Reference,
0097,Looking for Alaska,,John Green,2012,3,25,978-0-14-240251-1,Penguin Group,Young Adult Fiction,
0098,A Doll's House,,Henrik Ibsen,2010,1,16,978-0-521-48342-1,Cambridge University Press,Play,
0099,The Reader,,Bernhard Schlink,1997,2,52,978-0-7538-0470-4,Phoenix,Fiction,
0100,All Quiet on the Western Front,,Brian Murdoch,1996,3,29,978-0-09953-281-1,Vintage,War Story,
0101,Bravo Two Zero,,Andy McNab,1994,2,34,0-552-15357-5,Corgi,War Story,
0102,McCarthy's Bar,,Pete McCarthy,2001,2,36,0-340-76605-0,Hodder and Stoughton,Travel,
0103,Ivanhoe,Dean's Classics,Walter Scott,,,,,Dean & Sons Ltd.,Historical Fiction,
0104,Dune Messiah,,Frank Herbert,1972,3,2,,New English Library,Science Fiction,
0105,Zenith,,Dirk Strasser,1993,1,1,0-330-27393-0,Pan Macmillan Publishers,Fantasy,
0106,Dark Lord of Geeragh,,Veronica Sweeney,1999,,,0-7322-6505-3,Voyager,Fantasy,
0107,The Inheritance,Dragon Lance,Nancy Varian Berberick,2001,1,1,0-7869-2615-5,Wizards of the Coast,Fantasy,
0108,Moonarie: A Rock-Climber's Guide,,Tony Barker,1993,1,1,,Climbing Club of South Australia,Climbing,
0109,V.C.C Rock Climbers Guide to Southern Grampians,,Alan Gledhill/Geoffrey Gledhill,1971,,,,Victorian Climbing Club,Climbing,
0110,A Rock Climber's Guide to the Finders Ranges,,Nick Neagle,,,,0-7316-6944-4,Paddy Pallin,Climbing,
0111,Rockclimbs Around Adelaide,,Nyrie Dodd,1986,,,,Adelaide University Mountain Club,Climbing,
0112,Kaputar: A Rock Guide,,Mark Colyvan,1993,,,,Wild Publications,Climbing,
0113,A Manual of Modern Rope Techniques,,Nigel Shepherd,1992,1,2,0-09-469170-3,Constable and Company Ltd.,Climbing,
0114,Modern Alpine Climbing: Equiptment & Techniques,,Pit Schubert,1991,2,1,1-85284-067-6,Cicerone Press,Climbing,
0115,Modern Rope Techniques in Mountaineering,,Bill March,1985,3,1,0-902-363-70-0,Cicerone Press,Climbing,
0116,The Waddington Card Trick Collection,,Graham Reed,,,,,,Magic,
0117,Advanced Rockcraft,,Royal Robbins,1985,,,910856-56-7,La Siesta Press,Climbing,
0118,Abseiling Handbook,,,1988,2,22,,New Zealand Mountain Safety Council,Climbing,
0119,The Basic Essentials of Rock Climbing,,Mike Strassman,1989,1,1,0-934802-45-9,ICS Books Inc.,Climbing,
0120,How to Rock Climb!,,John Long,1989,1,1,0-934641-20-X,Chockstone Press Inc.,Climbing,
0121,How to Gym Climb!,,John Long,1994,1,1,0-934641-75-7,Chockstone Press Inc.,Climbing,
0122,Rock Climbing,,John Barry/Nigel Shepherd,1988,1,1,0-86101-349-2,Salamander Books Ltd.,Climbing,
0123,101 Amazing Card Tricks,,Bob Longe,1993,1,20,0-8069-0342-2,Sterling Publishing Co.,Magic,
0124,Lateral Thinking Puzzles,,Edward J. Harshman/Des MacHale/Paul Sloane,2003,1,4,1-4027-1062-3,Sterling Publishing Co.,Philosophy,
0125,Yertle the Turtle and Other Stories,,Dr. Seuss,1963,2,1,,Collins,Childrens,
0126,The Bad Beginning,A Series of Unfortunate Events,Lemony Snicket,1999,1,52,0-06-440766-7,HarperCollinsPublishers,Fiction,
0127,The Reptile Room,A Series of Unfortunate Events,Lemony Snicket,1999,1,47,0-06-440767-5,HarperCollinsPublishers,Fiction,
