0001,The Fellowship of the Ring,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823112-6,Unwin Books,High Fantasy,
0128,The Wide Window,A Series of Unfortunate Events,Lemony Snicket,2000,1,58,0-06-440768-3,HarperCollinsPublishers,Fiction,
0129,The Miserable Mill,A Series of Unfortunate Events,Lemony Snicket,2000,1,67,0-06-440769-1,HarperCollinsPublishers,Fiction,
0130,The Austere Academy,A Series of Unfortunate Events,Lemony Snicket,2000,1,59,0-06-440863-9,HarperCollinsPublishers,Fiction,
0131,The Ersatz Elevator,A Series of Unfortunate Events,Lemony Snicket,2001,1,59,0-06-440864-7,HarperCollinsPublishers,Fiction,
0132,The Vile Village,A Series of Unfortunate Events,Lemony Snicket,2001,1,56,0-06-440865-5,HarperCollinsPublishers,Fiction,
0133,The Hostile Hospital,A Series of Unfortunate Events,Lemony Snicket,2001,1,54,0-06-440866-3,HarperCollinsPublishers,Fiction,
0134,The Carnivorous Carnival,A Series of Unfortunate Events,Lemony Snicket,2002,1,42,0-06-441012-9,HarperCollinsPublishers,Fiction,
0135,The Slippery Slope,A Series of Unfortunate Events,Lemony Snicket,2003,1,32,0-06-441013-7,HarperCollinsPublishers,Fiction,
0136,The Grim Grotto,A Series of Unfortunate Events,Lemony Snicket,2004,1,31,0-06-441014-5,HarperCollinsPublishers,Fiction,
0137,The Penultimate Peril,A Series of Unfortunate Events,Lemony Snicket,2005,1,14,0-06-441015-3,HarperCollinsPublishers,Fiction,
0138,The End,A Series of Unfortunate Events,Lemony Snicket,2006,1,1,0-06-441016-1,HarperCollinsPublishers,Fiction,
0139,Let it Snow,,John Green/Maureen Johnson/Lauren Myracle,2008,1,24,978-0-141-34917-6,Penguin Group,Young Adult Fiction,
0140,The One Hunderd Year Old Man who Climbed out the Window,,Jonas Jonasson,2013,4,17,978-1-74331-793-8,Allen & Unwin,Fiction,
0141,The House of the Seven Gables,,Nathaniel Hawthorne,1985,2,1,0-89577-219-1,Reader's Digest,Fiction,
0142,Wil Grayson/Will Grayson,,John Green/David Levithan,2015,1,9,978-1-92165-623-1,Text Publishing,Young Adult Fiction,
0143,Deltora Quest 3,Deltora Quest 3,Emily Rodda,2011,2,2,978-1-86504-943-4,Scholastic Press,Fantasy,
0144,Queen of Swords,,Sara Donati,2006,2,1,978-1-86325-281-2,Bantam,Historical Fiction,
0145,Relics,,Pip Vaughan-Hughes,2006,1,2,0-75286-862-4,Orion,Historical Fiction,
0146,The Song of the Gladiator,,Paul Doherty,2004,1,1,0-7553-0778-X,Headline Book Publishing,Historical Fiction,
0147,The Spook's Curse,The Wardstone Chronicles,Joseph Delaney,2005,1,1,0-370-32827-2,Bodley Head,Childrens,
0148,The Spook's Secret,The Wardstone Chronicles,Joseph Delaney,2006,1,1,0-370-32828-0,Bodley Head,Childrens,
0149,The Spook's Battle,The Wardstone Chronicles,Joseph Delaney,2007,1,1,978-0-370-32892-8,Bodley Head,Childrens,
0150,Cavern of the Fear,Deltora Quest 2,Emily Rodda,2002,1,4,1-86504-387-7,Scholastic Press,Fantasy,
0151,The Isle of Illusion,Deltora Quest 2,Emily Rodda,2002,1,3,1-86504-425-3,Scholastic Press,Fantasy,
0152,The Shadowlands,Deltora Quest 2,Emily Rodda,2002,1,2,1-86504-426-1,Scholastic Press,Fantasy,
0153,Dragon's Nest,Deltora Quest 3,Emily Rodda,2007,2,1,978-1-86504-991-5,Scholastic Press,Fantasy,
0154,The Burning Bridge,Ranger's Apprentice,John Flanagan,2005,1,7,978-1-74166-090-6,Random House,Fantasy,
0155,The Icebound Land,Ranger's Apprentice,John Flanagan,2005,1,1,1-74166-021-1,Random House,Fantasy,
0156,Oakleaf Bearers,Ranger's Apprentice,John Flanagan,2006,1,1,978-1-74166-082-1,Random House,Fantasy,
0157,The Sorcerer in the North,Ranger's Apprentice,John Flanagan,2006,1,1,978-1-74166-128-6,Random House,Fantasy,
0158,The Forest of Silence,Deltora Quest,Emily Rodda,2000,1,2,1-86504-255-0,Scholastic Press,Fantasy,
0159,The Lake of Tears,Deltora Quest,Emily Rodda,2000,1,5,1-86504-226-9,Scholastic Press,Fantasy,
0160,City of the Rats,Deltora Quest,Emily Rodda,2000,1,7,1-86504-227-7,Scholastic Press,Fantasy,
0161,The Shifting Sands,Deltora Quest,Emily Rodda,2001,1,5,1-86504-228-5,Scholastic Press,Fantasy,
0162,Dread Mountain,Deltora Quest,Emily Rodda,2001,1,6,1-86504-229-3,Scholastic Press,Fantasy,
0163,The Maze of the Beast,Deltora Quest,Emily Rodda,2001,1,6,1-86504-230-7,Scholastic Press,Fantasy,
0164,The Valley of the Lost,Deltora Quest,Emily Rodda,2000,1,1,1-86504-231-5,Scholastic Press,Fantasy,
0165,Return to Dell,Deltora Quest,Emily Rodda,2001,1,5,1-86504-232-3,Scholastic Press,Fantasy,
0166,Hell Island,,Matthew Reilly,2005,1,1,0-330-42209-X,Pan Macmillan Publishers,Fiction,
0167,Ice Station,,Matthew Reilly,1998,2,27,0-330-36089-2,Pan Macmillan Publishers,Fiction,
0168,Area 7,,Matthew Reilly,2002,2,5,0-330-36365-4,Pan Macmillan Publishers,Fiction,
0169,Scarecrow,,Matthew Reilly,2005,2,2,0-330-42175-1,Pan Macmillan Publishers,Fiction,
0170,Balzac and the Little Chinese Seamstress,,Dai Sijie,2002,3,12,978-0-09928-643-1,Vintage,Historical Fiction,
0171,The Absolutely True Story of a Part-Time Indian,,Sherman Alexie,2008,2,5,978-1-84270-844-6,Andersen Press,Young Adult Fiction,
0172,Much Ado About Nothing,,William Shakespeare/Richard Appignanesi,2009,1,1,978-0-95581-696-3,SelfMadeHero,Play,
0173,Mysteries of a Convent and Maria Monk,,,,,,,The Wide Wide World Library,Nonfiction,
0174,The Holy Bible,,,,,,,Cambridge University Press,Religion,
0175,Michael of Ireland,,Anne Casserley,1926,1,1,,Faber and Gwyer Ltd.,Fairy Tales,
0176,Thunderhead,,Mary O'Hara,1945,2,1,,Dymock's Book Arcade Ltd.,Fiction,
0177,Just so Stories,,Rudyard Kipling,1902,1,1,,Macmillan and Co. Ltd.,Childrens,
0178,Seven Ancient Wonders,,Matthew Reilly,2005,1,2,1-40503-705-9,Pan Macmillan Publishers,Fiction,
0179,The Six Sacred Stones,,Matthew Reilly,2007,1,1,978-1-40503-816-4,Pan Macmillan Publishers,Fiction,
0180,The Five Greatest Warriors,,Matthew Reilly,2009,1,1,978-40503-933-8,Pan Macmillan Publishers,Fiction,
0181,Chaos,,James Gleick,1988,3,4,0-74740-413-5,Cardinal,Physics,
0182,Workshop Receipts,,Ernest Spon,1885,1,1,,E. & F. N. Spon,Reference,
0183,This England,,I. Tenen,1967,1,8,,Macmillan and Co. Ltd.,Reference,
0184,Hitler's Mein Kampf,,Adolf Hitler,1983,,,0-09-112431-X,Hutchinson,Reference,
0185,Uncle Tom's Cabin,,Harriet Beecher Stowe,circa 1909,,,,S.W. Partridge & Co. ,Fiction,
0186,Strangers at Lisconnel,,Jane Barlow,1895,1,1,,Hodder and Stoughton,Fiction,
0187,Ivanhoe,Bancroft Classics,Walter Scott,1966,2,1,,Bancroft & Co. Publishers Ltd.,Historical Fiction,
0188,Pollyanna of the Orange Blossoms,The Glad Books,Harriet Lummis Smith,1937,1,1,,Angus&Robertson,Fiction,
0189,Figures for Fun,,J.A.H. Hunter,1972,2,1,0-460-02095-1,J.M. Dent & Sons Ltd.,Mathematics,
0190,God Created the Integers,,Stephen Hawking,2006,2,1,978-0-141-01878-2,Penguin Group,Mathematics,
0191,All the Best From the Australian Mathematics Competition,,,1986,1,1,0-85889-277-4,Australian Mathematics Competition,Mathematics,
0192,The Elements of Probability Theory,,Harald Cramer,1966,2,1,,John Wiley & Sons Inc.,Mathematics,
0193,Elementary Linear Algerbra,,Howard Anton,1977,2,2,,John Wiley & Sons Inc.,Mathematics,
0194,Astronomy,,E.G. Ebbinghausen,1971,2,2,0-67592-294-9,Charles E. Merrill Publishing,Astronomy,
0195,Chemistry Handbook for Teachers,,,1968,1,2,,Penguin Group,Chemistry,
0196,Lost Languages,,Andrew Robinson,2002,1,1,978-1-60376-003-4,Tess Press,Language,
0197,The Calculus with Analytic Geometry,,Louis Leithold,1976,3,2,0-06043-951-3,Harper & Row,Mathematics,
0198,The New Complete Hoyle Revised,,Albert H. Morehead/Richard L. Frey/Geoffrey Mott-Smith,1991,4,2,0-38524-962-4,Doubleday,Magic,
0199,The Australian Modern Oxford Dictionary,,,,3,423,978-0-19555-343-7,Oxford University Press,Reference,
0200,Guinness World Records 2010 Gamer's Edition,,,2010,1,1,978-1-40535-525-4,Guinness World Records,Reference,
0201,Swimming & Lifesaving,,Royal Life Saving Society Australia,2010,6,1,978-1-87589-795-7,Mosby,Reference,
0202,Learn to Rock Climb,,Michael Loughman,1981,1,10,0-87156-281-2,Sierra Club Books,Climbing,
0203,Pokemon Game Guide,,,2004,1,1,0-76154-708-8,The Pokemon Company,Reference,
0204,Mathematical Insights,,Lois Dippy/Nikolas Olijnyk,1973,1,1,0-07093-150-X,McGraw-Hill Book Company Australia,Mathematics,
0205,Gemstones of the Southern Continents,,Lin Sutherland,1991,1,1,0-73010-272-6,Reed Books Pty. Ltd.,Geology,
0206,Heinemann Atlas,,,,4,1,978-1-74081-464-5,Heinemann,Reference,
0207,Greece and Rome at War,,Peter Connolly,1988,2,1,0-74810-109-8,Macdonald & Co. Ltd.,History,
0208,Tales from the Mabinogion,,Gwyn Thomas,2006,1,1,0-86243-897-7,Y Lolfa Cyf.,Religion,
0209,Soldiering On,,,1942,1,1,,Australian Commonwealth Military Forces,Military,
0210,Aesop's Fables,,Aesop,1993,3,1,0-86112-629-7,Brimax Books,Fairy Tales,
0211,The Prehistory of the Far Side,,Gary Larson,1994,3,6,0-75150-419-X,Warner Bros,Reference,
0212,Amazing Planet Earth,,John Farndon/Jack Challoner/Robin Kerrod/Rodney Walshaw,2003,2,1,1-84309-202-6,Hermes House,Reference,
0213,Ghost,,Louise Welsh,2015,1,1,978-1-78408-017-4,Head of Zeus Ltd.,Stories,
0214,The Gathering Storm,The Second World War,Winston Churchill,1954,2,10,,Reprint Society Ltd.,Military,
0215,Their Finest Hour,The Second World War,Winston Churchill,1953,2,6,,Reprint Society Ltd.,Military,
0216,The Grand Alliance,The Second World War,Winston Churchill,1953,2,5,,Reprint Society Ltd.,Military,
0217,The Hinge of Fate,The Second World War,Winston Churchill,1953,2,1,,Reprint Society Ltd.,Military,
0218,Pirates of the Asteroids,Space Ranger,Isaac Asimov,1974,4,1,,New English Library,Science Fiction,
0219,The End of Eternity,,Isaac Asimov,1974,2,8,,Panther Books Ltd,Science Fiction,
0220,Northern Lights,His Dark Materials,Philip Pullman,1998,3,62,978-0-59066-054-9,Scholastic Ltd.,Fantasy,
0221,Mockingjay,The Hunger Games,Suzanne Collins,2011,3,24,978-1-40713-210-5,Scholastic Ltd.,Fiction,
0222,The Magician's Nephew,The Chronicles of Narnia,C. S. Lewis,1998,3,2,0-00671-683-0,HarperCollinsPublishers,Fantasy,
0223,Journal,,Gavin Meredith,2016,1,1,,,Journal,
0224,Frontiers,,Isaac Asimov,1991,1,1,0-74930-768-4,Mandarin Paperbacks,Reference,
0225,The Raven,,Peter Landesman,1997,1,1,0-00655-148-7,Flamingo,Fiction,
0226,The God of Small Things,,Arundhath Roy,1998,2,37,0-00655-068-1,Flamingo,Fiction,
0227,Lost & Found,,Brooke Davis,2014,1,1,978-0-73363-275-4,Hachette Australia,Fiction,
0228,The Barbed Coil,,J.V. Jones,1997,1,1,1-85723-573-8,Orbit,Fiction,
0229,Toxic,,Jamie Doward,2015,1,1,978-1-47212-054-0,Constable,Fiction,
0230,The Madness of Hallen,Khalada Stone,Russell Meek,2013,1,1,978-0-47318-259-5,Russell Meek,Fiction,
0231,His Dark Materials,His Dark Materials,Philip Pullman,2007,4,1,978-1-40710-547-5,Scholastic Ltd.,Fantasy,
0232,Magyk,Septimus Heap,Angie Sage,2006,3,1,978-0-74757-926-7,Bloomsbury Publishing Plc.,Fantasy,
0233,God Emperor of Dune,Dune,Frank Herbert,1982,2,1,0-45005-262-1,New English Library,Science Fiction,
0234,Children of Dune,Dune,Frank Herbert,1977,2,1,,New English Library,Science Fiction,
0235,City of Bones,Mortal Instruments,Cassandra Clare,2007,1,9,978-1-40630-762-7,Walker Books Ltd,Young Adult Fiction,
0236,Treasure Island and The Black Arrow,The Holborn Library,Robert Louis Stevenson,1948,2,1,,George G. Harrap & Co. Ltd.,Fiction,
0237,The Wishsong of Shannara,,Terry Brooks,1985,3,1,0-70888-152-1,Futura Publications,Fantasy,
0238,The Robots of Dawn,,Isaac Asimov,1985,3,1,0-58606-199-1,Panther Books Ltd,Science Fiction,
0239,The Naked Sun,,Isaac Asimov,1985,2,14,0-58601-016-5,Panther Books Ltd,Science Fiction,
0240,Robot Dreams,,Isaac Asimov,1988,2,1,0-57504-254-0,VGSF,Science Fiction,
0241,Oceans of Venus,Space Ranger,Isaac Asimov,1980,3,2,,New English Library,Science Fiction,
0242,Space Ranger,Space Ranger,Isaac Asimov,1974,3,3,,New English Library,Science Fiction,
0243,Heretics of Dune,Dune,Frank Herbert,1985,2,1,0-45005-777-1,New English Library,Science Fiction,
0244,Chapter House Dune,Dune,Frank Herbert,1986,2,1,0-45005-886-7,New English Library,Science Fiction,
0245,Such is Life,,Tom Collins,1986,,,,Hedged & Bell,Historical Fiction,
0246,The Wild Things,,Dave Eggers,2009,1,1,978-0-24114-422-0,Penguin Group,Fiction,
0247,The Kon-Tiki Expedition,,Thor Heyerdahl,1951,1,16,,George Allen & Unwin,Journal,
0248,The Sea of Mist,Might and Magic,Mel Odom,2001,1,1,0-06103-163-1,HarperEntertainment,Fantasy,
0249,Maximum Security,Cherub,Robert Muchamore,2005,1,18,978-0-34088-435-5,Hodder Children's Books,Fiction,
0250,Mad Dogs,Cherub,Robert Muchamore,2007,1,10,978-0-34091-171-6,Hodder Children's Books,Fiction,
0251,The Fall,Cherub,Robert Muchamore,2007,1,2,978-0-34091-170-9,Hodder Children's Books,Fiction,
0252,Class A,Cherub,Robert Muchamore,2004,1,24,978-0-34088-154-5,Hodder Children's Books,Fiction,
0253,Divine Madness,Cherub,Robert Muchamore,2006,1,1,0-34089-434-2,Hodder Children's Books,Fiction,
0254,The General,Cherub,Robert Muchamore,2008,1,1,978-0-34093-184-4,Hodder Children's Books,Fiction,
0255,The Book Theif,,Markus Zusak,2008,2,19,978-0-33042-330-4,Pan Macmillan Publishers,Historical Fiction,
0256,Mao's Last Dancer,,Li Cunxin,2003,2,1,978-0-67004-024-7,Penguin Group,Fiction,
0257,Robinson Crusoe,,Daniel Defoe,,,,,Priory Books,Fiction,
0258,Life of Pi,,Yann Martel,2008,2,18,978-1-84195-392-2,Canongate Books Ltd.,Fiction,
0259,The Messenger,,Markus Zusak,2009,2,3,978-0-33042-473-8,Pan Macmillan Publishers,Fiction,
0260,Symbolic Logic,,Irving M. Copi,1967,3,,,The Macmillan Company,Philosophy,
0261,Eldest,Inheritance,Christopher Paolini,2005,2,5,0-38560-869-1,Doubleday,Young Adult Fiction,